,all_from_this_individual,good_upright,good_inverted,bad_upright,bad_inverted
0,1.6867087605646465,2.2729644578128436,1.5266596176897491,1.5037575283801403,1.7298850535736727
1,1.488933484593936,1.8184800929402698,1.6335742578922325,1.549602428120155,1.0834159342713672
2,1.1656857736390016,1.4938002199157003,1.1169493665260435,1.2428692228676037,1.0121313445990519
3,2.2061971130279883,2.5402218760422564,2.5807367841244124,1.8668285398182973,2.071119987869685
4,2.5029820259165394,2.3816717537932446,2.163239675675923,2.776676327076492,2.8087470891187616
5,2.225116444808712,3.0454654645715866,1.944115923389245,2.712262251770813,1.832570849592452
6,0.7498734722967695,1.0040895425271759,0.6198122511882116,1.0625577252757918,0.367233393860696
7,2.5718167721789302,2.7779152516930607,2.7077293214930167,2.6330070907500724,2.319998470803319
8,0.9553677026717402,1.3894171580270178,1.1168509544678005,1.0042234303143707,0.4404573533534085
9,1.9379741066402683,2.56895728980301,1.7322844179919192,2.2039393798285505,1.497941170583462
10,0.9726779793510169,1.1795286167838153,0.7372134135673778,0.9559230465279978,1.030053515109803
11,2.3817742202454104,2.807569472762784,2.1992439291086785,2.5048304063682334,2.0943313365088314
12,2.3315120133172567,2.453674469866945,2.0871260278773756,2.440072918265816,2.4047019579778843
13,2.7567043223716996,3.157702665606445,2.710881863910234,2.6577979778743206,2.553296540082643
14,0.818380446042172,1.2374126544840094,0.5593362030692853,0.9472361990041567,0.6379863621998304
15,0.7720407433455447,0.7664416508597529,0.6584982270555749,0.7631908560429106,0.8999801831082597
16,2.2184340390100097,2.78413038906139,1.9732953859238693,2.191060080295295,2.053576462630873
17,3.186550206275373,3.389214275450515,3.2454436614171,3.1543401425017352,2.7309118709670193
18,1.221031043197478,1.2424341962256307,1.3159555367032338,1.2424383342281327,1.1336705803705467
19,1.9289191081541548,2.1184551210227114,2.027265065058404,2.060960632189813,1.6136462978723314
20,1.321744519423315,1.378285107704464,1.3302562845618782,1.7223397580936788,0.8676329170093215
21,2.777245586673606,2.8622460803344376,2.514733304511653,2.761479854444068,3.2258193047431503
22,1.3240132088145358,1.1719525817707228,1.3465126297905181,1.4402049019512773,1.3753968906899332
